,0,1
890,600662,强生控股
891,600641,万业企业
892,600115,东方航空
893,600705,中航资本
894,688093,世华科技
895,600814,杭州解百
896,600302,标准股份
897,688560,明冠新材
898,600452,涪陵电力
899,600508,上海能源
900,600503,华丽家族
901,600101,明星电力
902,600764,中国海防
903,605177,东亚药业
904,600789,鲁抗医药
905,688358,祥生医疗
906,603268,松发股份
907,603505,金石资源
908,603236,移远通信
909,600851,海欣股份
910,688009,中国通号
911,600099,林海股份
912,601018,宁波港
913,688668,鼎通科技
914,603855,华荣股份
915,600581,八一钢铁
916,600718,东软集团
917,600759,洲际油气
918,600538,国发股份
919,600971,恒源煤电
920,603686,龙马环卫
921,600183,生益科技
922,603797,联泰环保
923,600864,哈投股份
924,603990,麦迪科技
925,603725,天安新材
926,600824,益民集团
927,603507,振江股份
928,600009,上海机场
929,600083,*ST博信
930,600354,*ST敦种
931,603580,艾艾精工
932,605158,华达新材
933,600493,凤竹纺织
934,605118,力鼎光电
935,603995,甬金股份
936,603790,雅运股份
937,603309,维力医疗
938,600569,安阳钢铁
939,600663,陆家嘴
940,688068,热景生物
941,603408,建霖家居
942,600526,菲达环保
943,600368,五洲交通
944,601588,北辰实业
945,600694,大商股份
946,603926,铁流股份
947,603338,浙江鼎力
948,600958,东方证券
949,601238,广汽集团
950,600995,文山电力
951,603227,雪峰科技
952,600477,杭萧钢构
953,600082,海泰发展
954,600568,*ST中珠
955,600435,北方导航
956,600448,华纺股份
957,600961,株冶集团
958,600035,楚天高速
959,603657,春光科技
960,600724,宁波富达
961,603829,洛凯股份
962,601518,吉林高速
963,600758,辽宁能源
964,600149,ST坊展
965,600280,*ST中商
966,605066,天正电气
967,603538,美诺华
968,603279,景津环保
969,603588,高能环境
970,603729,龙韵股份
971,600446,金证股份
972,600256,广汇能源
973,600385,ST金泰
974,600982,宁波能源
975,603200,上海洗霸
976,600847,万里股份
977,600797,浙大网新
978,601208,东材科技
979,601211,国泰君安
980,600400,红豆股份
981,600307,酒钢宏兴
982,600113,浙江东日
983,603628,清源股份
984,600613,神奇制药
985,603601,再升科技
986,600828,茂业商业
987,600600,青岛啤酒
988,603960,克来机电
989,600297,广汇汽车
990,603095,越剑智能
991,600833,第一医药
992,603161,科华控股
993,600180,瑞茂通
994,601858,中国科传
995,600103,青山纸业
996,688135,利扬芯片
997,688181,八亿时空
998,603306,华懋科技
999,600743,华远地产
1000,601399,ST国重装
1001,600279,重庆港九
1002,600894,广日股份
1003,603871,嘉友国际
1004,600751,海航科技
1005,603286,日盈电子
1006,603121,华培动力
1007,600480,凌云股份
1008,603825,华扬联众
1009,603667,五洲新春
1010,603569,长久物流
1011,600308,华泰股份
1012,603159,上海亚虹
1013,600276,恒瑞医药
1014,600853,龙建股份
1015,603890,春秋电子
1016,600749,西藏旅游
1017,600704,物产中大
1018,600325,华发股份
1019,600109,国金证券
1020,601005,重庆钢铁
1021,688256,寒武纪-U
1022,603111,康尼机电
1023,600332,白云山
1024,600496,精工钢构
1025,601099,太平洋
1026,601377,兴业证券
1027,600893,航发动力
1028,600337,美克家居
1029,600233,圆通速递
1030,601677,明泰铝业
1031,600358,*ST联合
1032,600757,长江传媒
1033,600692,亚通股份
1034,600391,航发科技
1035,603019,中科曙光
1036,600038,中直股份
1037,688335,复洁环保
1038,600640,号百控股
1039,601878,浙商证券
1040,600321,正源股份
1041,600104,上汽集团
1042,600320,振华重工
1043,605169,洪通燃气
1044,603585,苏利股份
1045,600726,华电能源
1046,600159,大龙地产
1047,600785,新华百货
1048,603269,海鸥股份
1049,603768,常青股份
1050,603035,常熟汽饰
1051,600679,上海凤凰
1052,600420,现代制药
1053,603077,和邦生物
1054,600022,山东钢铁
1055,600018,上港集团
1056,600622,光大嘉宝
1057,600333,长春燃气
1058,600227,圣济堂
1059,600570,恒生电子
1060,600148,长春一东
1061,601969,海南矿业
1062,600397,安源煤业
1063,600157,ST永泰
1064,603221,爱丽家居
1065,603332,苏州龙杰
1066,600498,烽火通信
1067,603311,金海高科
1068,688189,南新制药
1069,601199,江南水务
1070,688028,沃尔德
1071,600681,百川能源
1072,688557,兰剑智能
1073,600369,西南证券
1074,600548,深高速
1075,601607,上海医药
1076,600461,洪城水业
1077,600636,国新文化
1078,601326,秦港股份
1079,600845,宝信软件
1080,603040,新坐标
1081,601058,赛轮轮胎
1082,603739,蔚蓝生物
1083,688215,瑞晟智能
1084,688559,海目星
1085,600791,京能置业
1086,600212,*ST江泉
1087,600406,国电南瑞
1088,603928,兴业股份
1089,601890,亚星锚链
1090,600595,*ST中孚
1091,688158,优刻得-W
1092,603599,广信股份
1093,603912,佳力图
1094,600796,钱江生化
1095,603776,永安行
1096,688180,君实生物-U
1097,688033,天宜上佳
1098,603897,长城科技
1099,688118,普元信息
1100,600658,电子城
1101,600449,宁夏建材
1102,603078,江化微
1103,600783,鲁信创投
1104,601330,绿色动力
1105,600284,浦东建设
1106,600983,惠而浦
1107,600668,尖峰集团
1108,688550,瑞联新材
1109,688313,仕佳光子-U
1110,601116,三江购物
1111,603319,湘油泵
1112,600050,中国联通
1113,603220,中贝通信
1114,600533,栖霞建设
1115,600026,中远海能
1116,600645,中源协和
1117,601179,中国西电
1118,688510,航亚科技
1119,600228,ST昌九
1120,688356,键凯科技
1121,603650,彤程新材
1122,600066,宇通客车
1123,603050,科林电气
1124,600582,天地科技
1125,603390,通达电气
1126,603968,醋化股份
1127,600637,东方明珠
1128,603557,起步股份
1129,688165,埃夫特-U
1130,688178,万德斯
1131,601718,际华集团
1132,601568,北元集团
1133,603421,鼎信通讯
1134,603606,东方电缆
1135,605003,众望布艺
1136,603682,锦和商业
1137,601881,中国银河
1138,603488,展鹏科技
1139,603320,迪贝电气
1140,603506,南都物业
1141,603528,多伦科技
1142,600007,中国国贸
1143,603559,中通国脉
1144,600010,包钢股份
1145,600999,招商证券
1146,603676,卫信康
1147,603232,格尔软件
1148,600660,福耀玻璃
1149,600575,淮河能源
1150,688505,复旦张江
1151,601789,宁波建工
1152,603668,天马科技
1153,601019,山东出版
1154,603906,龙蟠科技
1155,601898,中煤能源
1156,600178,东安动力
1157,603520,司太立
1158,600651,*ST飞乐
1159,600558,大西洋
1160,605088,冠盛股份
1161,603997,继峰股份
1162,603301,振德医疗
1163,688166,博瑞医药
1164,601139,深圳燃气
1165,601827,三峰环境
1166,600373,中文传媒
1167,603883,老百姓
1168,600491,龙元建设
1169,600475,华光环能
1170,601616,广电电气
1171,600848,上海临港
1172,605188,国光连锁
1173,688788,科思科技
1174,688299,长阳科技
1175,603010,万盛股份
1176,601965,中国汽研
1177,600565,迪马股份
1178,600031,三一重工
1179,603360,百傲化学
1180,688004,博汇科技
1181,600423,ST柳化
1182,603033,三维股份
1183,600355,精伦电子
1184,603021,山东华鹏
1185,603766,隆鑫通用
1186,603949,雪龙集团
1187,603708,家家悦
1188,601801,皖新传媒
1189,600703,三安光电
1190,600380,健康元
1191,600981,汇鸿集团
1192,600387,海越能源
1193,600130,波导股份
1194,688080,映翰通
1195,603229,奥翔药业
1196,600017,日照港
1197,600594,益佰制药
1198,603316,诚邦股份
1199,688060,云涌科技
1200,600765,中航重机
1201,600733,北汽蓝谷
1202,603579,荣泰健康
1203,603798,康普顿
1204,688106,金宏气体
1205,603013,亚普股份
1206,688266,泽璟制药-U
1207,688233,神工股份
1208,600469,风神股份
1209,603516,淳中科技
1210,601186,中国铁建
1211,603127,昭衍新药
1212,600398,海澜之家
1213,601375,中原证券
1214,603357,设计总院
1215,600993,马应龙
1216,603011,合锻智能
1217,688308,欧科亿
1218,688050,爱博医疗
1219,688051,佳华科技
1220,600886,国投电力
1221,600141,兴发集团
1222,600520,文一科技
1223,600168,武汉控股
1224,688222,成都先导
1225,600551,时代出版
1226,601669,中国电建
1227,688086,紫晶存储
1228,603196,日播时尚
1229,600150,中国船舶
1230,603330,上海天洋
1231,688378,奥来德
1232,600202,哈空调
1233,600543,莫高股份
1234,603389,*ST亚振
1235,600173,卧龙地产
1236,600105,永鼎股份
1237,603737,三棵树
1238,688001,华兴源创
1239,600138,中青旅
1240,600217,中再资环
1241,600841,上柴股份
1242,600678,四川金顶
1243,603066,音飞储存
1244,600463,空港股份
1245,605008,长鸿高科
1246,600182,S佳通
1247,600169,太原重工
1248,603886,元祖股份
1249,605366,宏柏新材
1250,600602,云赛智联
1251,600512,腾达建设
1252,603086,先达股份
1253,603757,大元泵业
1254,600048,保利地产
1255,600643,爱建集团
