,0,1
878,002567,唐人神
879,300527,中船应急
880,002911,佛燃能源
881,002411,延安必康
882,002068,黑猫股份
883,300349,金卡智能
884,002397,梦洁股份
885,300061,旗天科技
886,300079,数码视讯
887,002171,楚江新材
888,300150,世纪瑞尔
889,002957,科瑞技术
890,002671,龙泉股份
891,000548,湖南投资
892,000590,启迪药业
893,000766,通化金马
894,002628,成都路桥
895,300664,鹏鹞环保
896,000539,粤电力Ａ
897,002160,常铝股份
898,000739,普洛药业
899,300801,泰和科技
900,000609,中迪投资
901,002593,日上集团
902,002087,新野纺织
903,002968,新大正
904,002819,东方中科
905,002124,天邦股份
906,300164,通源石油
907,000563,陕国投Ａ
908,002912,中新赛克
909,300564,筑博设计
910,002903,宇环数控
911,300075,数字政通
912,002877,智能自控
913,002417,深南股份
914,300262,巴安水务
915,002990,盛视科技
916,300313,天山生物
917,002223,鱼跃医疗
918,002037,保利联合
919,000856,冀东装备
920,000920,南方汇通
921,003018,金富科技
922,002579,中京电子
923,002321,华英农业
924,000601,韶能股份
925,300033,同花顺
926,002581,未名医药
927,003816,中国广核
928,000088,盐 田 港
929,000801,四川九洲
930,300490,华自科技
931,002502,*ST鼎龙
932,300180,华峰超纤
933,000611,ST天首
934,002193,如意集团
935,300605,恒锋信息
936,000619,海螺型材
937,300113,顺网科技
938,000068,华控赛格
939,002508,老板电器
940,002748,世龙实业
941,300273,和佳医疗
942,300011,鼎汉技术
943,002760,凤形股份
944,300478,杭州高新
945,002863,今飞凯达
946,000859,国风塑业
947,002482,广田集团
948,002690,美亚光电
949,300044,赛为智能
950,000702,正虹科技
951,000056,皇庭国际
952,300398,飞凯材料
953,000630,铜陵有色
954,002969,嘉美包装
955,300700,岱勒新材
956,000008,神州高铁
957,000593,大通燃气
958,002443,金洲管道
959,002325,洪涛股份
960,300135,宝利国际
961,300658,延江股份
962,300547,川环科技
963,002110,三钢闽光
964,002203,海亮股份
965,002806,华锋股份
966,002920,德赛西威
967,002554,惠博普
968,002141,贤丰控股
969,000861,海印股份
970,000852,石化机械
971,300137,先河环保
972,002640,跨境通
973,002629,ST仁智
974,002862,实丰文化
975,000544,中原环保
976,002298,中电兴发
977,300031,宝通科技
978,002148,北纬科技
979,000877,天山股份
980,300094,国联水产
981,300823,建科机械
982,300039,上海凯宝
983,002856,美芝股份
984,002792,通宇通讯
985,000595,*ST宝实
986,000599,青岛双星
987,300555,路通视信
988,002761,多喜爱
989,000799,酒鬼酒
990,002467,二六三
991,300290,荣科科技
992,002062,宏润建设
993,002673,西部证券
994,002444,巨星科技
995,000665,湖北广电
996,002380,科远智慧
997,000757,浩物股份
998,002555,三七互娱
999,002446,盛路通信
1000,300410,正业科技
1001,002786,银宝山新
1002,002344,海宁皮城
1003,300049,福瑞股份
1004,002195,二三四五
1005,300284,苏交科
1006,002347,泰尔股份
1007,300334,津膜科技
1008,002568,百润股份
1009,002599,盛通股份
1010,300458,全志科技
1011,300468,四方精创
1012,300084,海默科技
1013,002353,杰瑞股份
1014,002115,三维通信
